t [s]	η [m]
38.875	-2.9155836
39.0	-3.1208963
39.125	-3.302318
39.25	-3.4606597
39.375	-3.5958211
39.5	-3.7065272
39.625	-3.7902167
39.75	-3.8433166
39.875	-3.8616676
40.0	-3.8411498
40.125	-3.7783992
40.25	-3.671505
40.375	-3.5205588
40.5	-3.328002
40.625	-3.0987704
40.75	-2.8400111
40.875	-2.5606601
41.0	-2.2708027
41.125	-1.9807465
41.25	-1.7003192
41.375	-1.437993
41.5	-1.2003016
41.625	-0.9914477
41.75	-0.8131332
41.875	-0.66469073
42.0	-0.5434035
42.125	-0.44499546
42.25	-0.36422017
42.375	-0.295477
42.5	-0.2333324
42.625	-0.1729601
42.75	-0.11041476
42.875	-0.04275526
43.0	0.031976216
43.125	0.114899226
43.25	0.20648362
43.375	0.3067847
43.5	0.41561595
43.625	0.5327112
43.75	0.6577606
43.875	0.7904095
44.0	0.9301703
44.125	1.0763202
44.25	1.2277769
44.375	1.383019
44.5	1.5400478
44.625	1.696407
44.75	1.8493172
44.875	1.9958059
45.0	2.1328933
45.125	2.2577946
45.25	2.3681219
45.375	2.461977
45.5	2.5380476
45.625	2.5955596
45.75	2.6342378
45.875	2.654241
46.0	2.6559455
46.125	2.639877
46.25	2.606611
46.375	2.5566308
46.5	2.4904463
46.625	2.408548
46.75	2.3114934
46.875	2.2000167
47.0	2.0750704
47.125	1.9378997
47.25	1.7900115
47.375	1.6330845
47.5	1.4688789
47.625	1.2990545
47.75	1.1249937
47.875	0.9476317
48.0	0.7673796
48.125	0.5840568
48.25	0.39698637
48.375	0.20514268
48.5	0.0073975823
48.625	-0.1971719
48.75	-0.40896198
48.875	-0.627568
49.0	-0.8515543
49.125	-1.0783728
49.25	-1.3044056
49.375	-1.5251758
49.5	-1.7356737
49.625	-1.930818
49.75	-2.1059458
49.875	-2.2573
50.0	-2.3824527
50.125	-2.4806118
50.25	-2.55267
50.375	-2.6011446
50.5	-2.6298673
50.625	-2.643423
50.75	-2.6466231
50.875	-2.6437442
51.0	-2.6379044
51.125	-2.6305046
51.25	-2.620856
51.375	-2.6060374
51.5	-2.5810199
51.625	-2.53911
51.75	-2.4725518
51.875	-2.3733156
52.0	-2.2340457
52.125	-2.0489054
52.25	-1.814385
52.375	-1.5298705
52.5	-1.1979902
52.625	-0.8246162
52.75	-0.41860765
52.875	0.008773685
53.0	0.44463983
53.125	0.8754086
53.25	1.2877866
53.375	1.6696674
53.5	2.0109172
53.625	2.303973
53.75	2.5440717
53.875	2.7293477
54.0	2.8605735
54.125	2.9407027
54.25	2.9743133
54.375	2.9669228
54.5	2.924365
54.625	2.8521998
54.75	2.7553074
54.875	2.637671
55.0	2.5022469
55.125	2.3511066
55.25	2.1856217
55.375	2.0067601
55.5	1.8154184
55.625	1.6126273
55.75	1.3997529
55.875	1.1785501
56.0	0.9510948
56.125	0.71963584
56.25	0.48636076
56.375	0.25313914
56.5	0.021311004
56.625	-0.20845644
56.75	-0.436203
56.875	-0.66256386
57.0	-0.88854593
57.125	-1.1151792
57.25	-1.3431219
57.375	-1.5722508
57.5	-1.8013105
57.625	-2.0276718
57.75	-2.2472408
57.875	-2.4546213
58.0	-2.6433375
58.125	-2.8063154
58.25	-2.9365582
58.375	-3.0276632
58.5	-3.0745337
58.625	-3.073913
58.75	-3.0247405
58.875	-2.9283128
59.0	-2.788288
59.125	-2.610331
59.25	-2.4016833
59.375	-2.1704583
59.5	-1.9249976
59.625	-1.6731274
59.75	-1.4215373
59.875	-1.175275
60.0	-0.93750113
60.125	-0.70939654
60.25	-0.49029547
60.375	-0.27805832
60.5	-0.06949947
60.625	0.1390418
60.75	0.3511678
60.875	0.56992465
61.0	0.7974378
61.125	1.0346668
